# PROC_ID	PARCEL_ID	CellI	X	Y	Z	p	Ux	Uy	Uz	T	C3H8	CO2	H2O	N2	O2
2	68	21	0.0213444	0	0.0005	102855	23.6166	0.324976	0	288.219	1.22967e-06	2.23226e-19	1.21836e-19	0.769999	0.23
2	69	21	0.0213643	0.000869785	0.0005	102855	23.6166	0.324976	0	288.219	1.22967e-06	2.23226e-19	1.21836e-19	0.769999	0.23
2	70	61	0.0213875	0.00162418	0.0005	102853	23.6128	-0.12805	0	288.218	2.38885e-05	5.1588e-18	2.81565e-18	0.769982	0.229995
2	71	101	0.02137	0.00262054	0.0005	102847	23.5562	0.660782	0	288.236	0.000392999	1.8822e-16	1.02729e-16	0.769697	0.22991
2	72	141	0.0214811	0.00343228	0.0005	102841	23.6493	0.314069	0	288.474	0.00180009	5.01331e-16	2.73624e-16	0.768614	0.229586
2	73	181	0.0214579	0.00449872	0.0005	102834	23.3281	1.55552	0	289.877	0.00700876	3.01894e-15	1.64773e-15	0.764603	0.228388
2	74	221	0.0216424	0.00553964	0.0005	102827	23.9833	1.38577	0	293.701	0.0176049	9.87294e-15	5.38861e-15	0.756444	0.225951
2	75	261	0.0215885	0.0068478	0.0005	102843	22.9045	2.88795	0	301.689	0.0402872	5.02796e-14	2.74424e-14	0.738979	0.220734
2	76	341	0.0213715	0.00803462	0.0005	102819	21.9238	2.85666	0	321.462	0.106205	2.59292e-12	1.41521e-12	0.688222	0.205573
2	77	381	0.0213373	0.00982373	0.0005	102819	19.7002	2.42384	0	348.994	0.143624	1.22816e-11	6.70324e-12	0.659409	0.196966
2	78	420	0.0203589	0.0108871	0.0005	102821	16.4088	3.6013	0	364.947	0.169928	3.17484e-11	1.73282e-11	0.639156	0.190917
2	79	497	0.0171744	0.0128142	0.0005	102769	11.4595	1.80396	0	407.488	0.232496	1.03332e-09	5.6398e-10	0.590978	0.176526
2	80	536	0.0163965	0.0138719	0.0005	102774	10.9035	-0.31189	0	425.405	0.343168	3.09207e-09	1.68764e-09	0.50576	0.151071
2	81	456	0.0169373	0.0116644	0.0005	102761	11.8624	-0.735136	0	392.133	0.247397	1.04916e-09	5.72629e-10	0.579504	0.173099
2	82	2273	-0.0239966	0.011	0.0005	104084	22.5062	-0.148315	0	288.698	2.41381e-28	5.07318e-38	2.76892e-38	0.77	0.23
2	83	2298	-0.0239966	0.018	0.0005	102155	23.037	0.123015	0	287.745	2.75774e-29	4.73245e-39	2.58295e-39	0.77	0.23
2	84	771	0.011441	0.0197387	0.0005	102676	22.0671	0.333597	0	291.003	0.208442	4.07839e-14	2.22597e-14	0.609499	0.182058
2	85	697	0.0172416	0.0178037	0.0005	102753	15.9022	-2.48359	0	334.534	0.445178	8.84984e-12	4.83021e-12	0.427213	0.127609
2	86	740	0.0208363	0.0188293	0.0005	102750	24.5562	-4.47662	0	294.198	0.187362	8.54427e-13	4.66343e-13	0.625731	0.186907
2	87	741	0.0214654	0.0189858	0.0005	102733	25.807	-5.96796	0	291.596	0.14928	4.99064e-13	2.72387e-13	0.655054	0.195666
2	88	781	0.0213799	0.019162	0.0005	102738	25.5978	-7.17232	0	288.483	0.0470344	6.9678e-14	3.803e-14	0.733784	0.219182
2	89	781	0.0215155	0.0193652	0.0005	102738	25.5978	-7.17232	0	288.483	0.0470344	6.9678e-14	3.803e-14	0.733784	0.219182
2	90	781	0.0215361	0.0197317	0.0005	102738	25.5978	-7.17232	0	288.483	0.0470344	6.9678e-14	3.803e-14	0.733784	0.219182
2	91	821	0.0210938	0.0202292	0.0005	102739	23.8372	-7.83938	0	288.128	0.0184252	6.98001e-15	3.80966e-15	0.755813	0.225762
2	92	820	0.0204589	0.0207482	0.0005	102754	23.3939	-6.97633	0	288.159	0.0146642	8.83181e-15	4.82037e-15	0.758709	0.226627
2	93	859	0.0198106	0.0213437	0.0005	102754	20.9839	-6.49723	0	288.157	0.00707045	7.54493e-16	4.11799e-16	0.764556	0.228374
2	94	898	0.0188204	0.0221864	0.0005	102769	18.5003	-5.70966	0	288.182	0.00724942	2.73011e-16	1.49008e-16	0.764418	0.228333
2	95	936	0.0167159	0.0238184	0.0005	102758	18.3025	-4.02726	0	288.265	0.00484139	1.78003e-16	9.71536e-17	0.766272	0.228886
2	96	1011	0.0113947	0.0253627	0.0005	102670	12.4133	4.27787	0	288.275	0.00518433	1.90646e-16	1.04054e-16	0.766008	0.228808
2	97	2448	-0.0239966	0.025	0.0005	102160	23.0338	-0.130153	0	287.748	8.30014e-31	1.47678e-40	8.06018e-41	0.77	0.23
2	106	15	0.0154696	0	0.0005	102911	23.5476	0.03109	0	288.309	7.10345e-07	2.00478e-19	1.0942e-19	0.769999	0.23
2	107	15	0.0154772	0.00071044	0.0005	102911	23.5476	0.03109	0	288.309	7.10345e-07	2.00478e-19	1.0942e-19	0.769999	0.23
2	108	55	0.0154888	0.00132356	0.0005	102910	23.6772	-0.720428	0	288.309	2.47937e-05	1.1706e-17	6.38908e-18	0.769981	0.229994
2	109	95	0.0154985	0.002043	0.0005	102907	24.0074	-0.739487	0	288.311	0.000357086	3.625e-16	1.97851e-16	0.769725	0.229918
2	110	95	0.0155284	0.00267888	0.0005	102907	24.0074	-0.739487	0	288.311	0.000357086	3.625e-16	1.97851e-16	0.769725	0.229918
2	111	135	0.015531	0.00321231	0.0005	102902	24.5247	-1.57853	0	288.36	0.00455353	1.18898e-14	6.48938e-15	0.766494	0.228953
2	112	135	0.0155213	0.00383131	0.0005	102902	24.5247	-1.57853	0	288.36	0.00455353	1.18898e-14	6.48938e-15	0.766494	0.228953
2	113	175	0.0154545	0.00429451	0.0005	102889	25.486	-1.80621	0	289.067	0.0366184	2.4538e-13	1.33928e-13	0.741804	0.221578
2	114	175	0.0150675	0.00460451	0.0005	102889	25.486	-1.80621	0	289.067	0.0366184	2.4538e-13	1.33928e-13	0.741804	0.221578
2	115	174	0.0142741	0.00497085	0.0005	102921	24.3188	-3.14618	0	289.565	0.0428488	4.28202e-13	2.33711e-13	0.737006	0.220145
2	116	213	0.0131673	0.00557771	0.0005	102912	22.0179	-6.24117	0	299.635	0.163643	5.96985e-12	3.25832e-12	0.643995	0.192362
2	117	292	0.0123804	0.00779868	0.0005	102863	21.5556	-7.45588	0	364.481	0.288971	1.0419e-10	5.68666e-11	0.547493	0.163537
2	118	332	0.012762	0.00884112	0.0005	102886	23.334	-6.75246	0	411.647	0.333285	4.13761e-10	2.25829e-10	0.513371	0.153344
2	119	566	0.00631143	0.014004	0.0005	102804	9.56391	-0.167828	0	368.648	0.692893	8.16625e-13	4.45711e-13	0.236472	0.0706346
2	120	2273	-0.0239965	0.011	0.0005	104084	22.5062	-0.148315	0	288.698	2.41381e-28	5.07318e-38	2.76892e-38	0.77	0.23
2	121	2298	-0.0239966	0.018	0.0005	102155	23.037	0.123015	0	287.745	2.75774e-29	4.73245e-39	2.58295e-39	0.77	0.23
2	122	685	0.00568479	0.0179661	0.0005	102687	7.22216	-1.61174	0	297.679	0.486977	6.52987e-16	3.56398e-16	0.395028	0.117995
2	123	734	0.0140165	0.0188049	0.0005	102733	18.9888	-4.88742	0	293.024	0.164681	6.07062e-13	3.31332e-13	0.643196	0.192123
2	124	735	0.0152148	0.0186615	0.0005	102746	19.7928	-5.12864	0	293.775	0.154682	6.78816e-13	3.70495e-13	0.650895	0.194423
2	125	775	0.0156893	0.0191716	0.0005	102739	21.1238	-5.12721	0	288.818	0.0616278	4.69617e-14	2.56315e-14	0.722547	0.215826
2	126	775	0.0156939	0.0199012	0.0005	102739	21.1238	-5.12721	0	288.818	0.0616278	4.69617e-14	2.56315e-14	0.722547	0.215826
2	127	815	0.0157622	0.0205783	0.0005	102749	20.9405	-4.25419	0	288.338	0.0190221	3.21023e-15	1.75213e-15	0.755353	0.225625
2	128	855	0.015764	0.021216	0.0005	102743	20.8958	-3.67298	0	288.282	0.00349616	1.13416e-16	6.19022e-17	0.767308	0.229196
2	129	855	0.0154998	0.0218731	0.0005	102743	20.8958	-3.67298	0	288.282	0.00349616	1.13416e-16	6.19022e-17	0.767308	0.229196
2	130	895	0.0152037	0.0226258	0.0005	102760	19.2143	-3.25352	0	288.286	0.00137373	4.04301e-17	2.20666e-17	0.768942	0.229684
2	131	935	0.0150166	0.0234735	0.0005	102756	19.0378	-2.75056	0	288.302	0.00255561	9.19479e-17	5.01848e-17	0.768032	0.229412
2	132	974	0.0146177	0.0242929	0.0005	102770	17.9704	-1.57857	0	288.334	0.00542734	1.9716e-16	1.07609e-16	0.765821	0.228752
2	133	1013	0.0130944	0.0252623	0.0005	102756	10.3502	3.46304	0	288.208	0.0096244	3.6357e-16	1.98435e-16	0.762589	0.227786
2	134	966	0.0067774	0.0244887	0.0005	102532	22.7774	2.66526	0	288.154	0.00561353	1.95177e-16	1.06527e-16	0.765678	0.228709
2	135	2448	-0.0239966	0.025	0.0005	102160	23.0338	-0.130153	0	287.748	8.30014e-31	1.47678e-40	8.06018e-41	0.77	0.23
2	144	9	0.0092385	0	0.0005	103038	21.1401	0.0957106	0	288.374	4.91042e-09	3.05235e-21	1.66596e-21	0.77	0.23
2	145	9	0.00924529	0.000783602	0.0005	103038	21.1401	0.0957106	0	288.374	4.91042e-09	3.05235e-21	1.66596e-21	0.77	0.23
2	146	49	0.00924584	0.00154645	0.0005	103035	21.1514	-0.57979	0	288.374	2.57326e-07	2.08848e-20	1.13989e-20	0.77	0.23
2	147	89	0.00919906	0.00236536	0.0005	103033	20.938	-0.241947	0	288.373	8.33586e-06	1.96842e-19	1.07436e-19	0.769994	0.229998
2	148	129	0.00924489	0.00314752	0.0005	103020	21.024	-0.851532	0	288.372	0.000101896	2.16805e-18	1.18331e-18	0.769922	0.229977
2	149	169	0.00916886	0.00400201	0.0005	103012	20.4917	0.0462162	0	288.391	0.000954085	2.48734e-17	1.35758e-17	0.769265	0.229781
2	150	169	0.00920177	0.00486446	0.0005	103012	20.4917	0.0462162	0	288.391	0.000954085	2.48734e-17	1.35758e-17	0.769265	0.229781
2	151	209	0.00920743	0.00580828	0.0005	102992	21.0759	-0.462693	0	288.591	0.00522527	2.8041e-16	1.53047e-16	0.765977	0.228798
2	152	249	0.00914552	0.00680805	0.0005	102980	19.2631	1.7912	0	290.09	0.0224402	3.3209e-15	1.81253e-15	0.752721	0.224839
2	153	329	0.0094435	0.00802623	0.0005	102910	19.6717	4.31706	0	307.27	0.0696284	6.49419e-13	3.5445e-13	0.716386	0.213985
2	154	368	0.0088724	0.00906258	0.0005	102892	14.9488	4.20384	0	395.75	0.0686068	5.77004e-12	3.14927e-12	0.717173	0.21422
2	155	449	0.00936059	0.0110907	0.0005	102848	18.7588	3.30042	0	430.591	0.13912	9.78259e-11	5.3393e-11	0.662878	0.198002
