# PROC_ID	PARCEL_ID	CellI	X	Y	Z	p	Ux	Uy	Uz	T	C3H8	CO2	H2O	N2	O2
2	175	2588	0.1323	0.049705	0.0005	112128	17.7739	0.178932	0	350.992	0.257959	0.0145322	0.00793164	0.567613	0.151964
2	217	2599	0.143355	0.049071	0.0005	111959	20.0215	-0.648927	0	440.78	0.243719	0.0501168	0.0273536	0.569387	0.109423
2	102	2542	0.138342	0.0480123	0.0005	112070	23.527	0.559917	0	569.429	0.253257	0.0413777	0.0225838	0.564315	0.118467
2	218	2489	0.137229	0.0471893	0.0005	112035	26.2026	-1.25748	0	1592.35	0.20726	0.14123	0.0770827	0.574053	0.000374317
2	293	2284	0.140196	0.0432668	0.0005	112019	42.6347	-3.15693	0	1593.9	0.143285	0.152942	0.083475	0.620298	2.77332e-14
2	179	2529	0.125407	0.0480579	0.0005	111864	21.3487	-1.15765	0	362.413	0.208082	0.0328821	0.0179469	0.601309	0.13978
2	139	2476	0.124336	0.0478418	0.0005	111819	31.6409	0.383702	0	1727.38	0.137769	0.153384	0.0837162	0.624456	0.000675121
2	140	2373	0.125327	0.0458736	0.0005	111897	43.8279	-3.64074	0	1798.98	0.0750303	0.165105	0.0901139	0.66975	4.17242e-09
2	407	823	0.135805	0.015712	0.0005	111966	67.165	1.03716	0	1394.71	0.31582	0.122138	0.0666626	0.49538	3.75446e-28
2	557	773	0.137148	0.0148633	0.0005	111967	70.1527	1.16555	0	1337.67	0.357211	0.114757	0.0626339	0.465398	1.07348e-25
2	142	1133	0.133699	0.0210707	0.0005	111882	65.7733	-2.0279	0	1891.38	0.0668994	0.166546	0.0909	0.675655	2.66785e-45
2	444	818	0.130994	0.0159495	0.0005	111866	67.3711	0.590325	0	1352.35	0.334792	0.118749	0.0648129	0.481646	1.27586e-27
2	672	713	0.129723	0.0139447	0.0005	111830	72.8483	0.79877	0	1281.55	0.41021	0.105303	0.057474	0.427013	9.25049e-23
2	783	514	0.138752	0.0099335	0.0005	112043	88.9525	1.01147	0	1598.67	0.22147	0.138986	0.0758579	0.563686	2.83995e-13
2	405	813	0.125437	0.0157473	0.0005	111820	66.3544	-0.0821348	0	1344.49	0.33159	0.119317	0.0651229	0.48397	1.95908e-28
2	673	710	0.12671	0.0135657	0.0005	111802	72.0292	0.306673	0	1279.55	0.409596	0.105411	0.0575328	0.42746	7.43552e-23
2	480	809	0.121128	0.0154829	0.0005	111828	64.8567	-1.20687	0	1343.59	0.321792	0.121062	0.0660752	0.491071	3.73133e-32
2	636	650	0.118592	0.0128645	0.0005	111775	69.8785	-1.94366	0	1286.28	0.412853	0.104832	0.057217	0.425098	6.01514e-25
2	785	551	0.123151	0.0102999	0.0005	111706	81.9733	0.793033	0	1492.6	0.294473	0.125958	0.0687474	0.510822	2.6329e-17
2	178	1216	0.112611	0.0237891	0.0005	111783	54.0211	-0.510007	0	1895.69	0.0597039	0.167829	0.0916004	0.680867	1.95078e-55
2	822	496	0.120801	0.00941961	0.0005	111668	85.3668	0.341605	0	1529.08	0.270219	0.130283	0.0711077	0.528391	2.79315e-16
2	598	644	0.112391	0.0126386	0.0005	111647	68.6462	-3.23503	0	1276.8	0.407734	0.105739	0.057712	0.428815	2.78414e-24
2	784	390	0.118887	0.00712045	0.0005	111680	90.7283	-0.734518	0	1688.79	0.137888	0.153888	0.0839917	0.624232	1.7308e-10
2	711	590	0.110391	0.0117737	0.0005	111561	70.0559	-3.58229	0	1307.86	0.41107	0.105149	0.0573898	0.426391	2.84222e-21
2	710	536	0.108551	0.0107049	0.0005	111466	72.9038	-2.57167	0	1360.3	0.390743	0.108776	0.0593698	0.441111	2.25504e-18
2	748	586	0.106614	0.0118421	0.0005	111432	69.4927	-2.54539	0	1302.08	0.413874	0.104646	0.0571152	0.424366	4.32628e-21
