# Residuals   
# Time        	p             	Ux            	Uy            	h             	k             
0.029         	N/A           	N/A           	N/A           	N/A           	N/A           
0.029001      	6.215839e-03	3.093907e-04	6.327918e-04	2.531773e-04	2.359677e-04
0.029002      	6.022245e-03	3.082135e-04	6.286852e-04	3.603831e-04	2.284079e-04
0.029003      	6.054136e-03	3.084121e-04	6.279183e-04	3.469404e-04	2.261958e-04
0.029004      	5.959375e-03	3.092110e-04	6.288615e-04	3.491592e-04	2.255099e-04
0.029005      	5.715743e-03	3.102923e-04	6.305428e-04	3.463167e-04	2.252474e-04
0.029006      	5.436147e-03	3.116209e-04	6.326008e-04	3.401823e-04	2.251434e-04
0.029007      	5.180699e-03	3.128623e-04	6.345233e-04	3.343510e-04	2.252340e-04
0.029008      	4.997145e-03	3.137654e-04	6.360896e-04	3.301045e-04	2.255607e-04
0.029009      	4.919440e-03	3.143160e-04	6.368248e-04	3.270146e-04	2.260437e-04
0.02901       	4.931216e-03	3.145319e-04	6.368164e-04	3.250053e-04	2.266583e-04
0.029011      	4.977956e-03	3.144599e-04	6.363534e-04	3.238848e-04	2.274155e-04
0.029012      	5.019681e-03	3.142634e-04	6.355657e-04	3.228916e-04	2.281806e-04
0.029013      	5.014572e-03	3.140886e-04	6.348681e-04	3.219828e-04	2.290089e-04
0.029014      	4.986511e-03	3.140879e-04	6.343605e-04	3.200676e-04	2.298372e-04
0.029015      	4.945222e-03	3.140889e-04	6.339586e-04	3.181210e-04	2.306492e-04
0.029016      	4.903018e-03	3.141471e-04	6.337758e-04	3.165698e-04	2.314721e-04
0.029017      	4.841810e-03	3.144004e-04	6.338335e-04	3.146705e-04	2.323031e-04
0.029018      	4.767961e-03	3.147454e-04	6.340343e-04	3.130672e-04	2.332234e-04
0.029019      	4.688550e-03	3.151249e-04	6.342045e-04	3.110658e-04	2.341831e-04
0.02902       	4.613638e-03	3.155205e-04	6.342696e-04	3.095142e-04	2.351255e-04
0.029021      	4.556066e-03	3.159983e-04	6.342614e-04	3.084505e-04	2.360347e-04
0.029022      	4.490292e-03	3.164852e-04	6.341633e-04	3.070261e-04	2.369262e-04
0.029023      	4.440925e-03	3.168796e-04	6.339527e-04	3.059947e-04	2.377999e-04
0.029024      	4.405125e-03	3.172004e-04	6.336660e-04	3.054286e-04	2.386700e-04
0.029025      	4.373241e-03	3.174436e-04	6.333378e-04	3.048879e-04	2.395593e-04
0.029026      	4.334574e-03	3.176519e-04	6.330168e-04	3.042182e-04	2.404307e-04
0.029027      	4.290164e-03	3.177664e-04	6.327835e-04	3.033284e-04	2.413134e-04
0.029028      	4.253048e-03	3.178091e-04	6.325294e-04	3.028733e-04	2.422205e-04
0.029029      	4.213646e-03	3.178484e-04	6.322857e-04	3.025059e-04	2.431141e-04
0.02903       	4.164373e-03	3.178769e-04	6.321029e-04	3.022870e-04	2.440093e-04
0.029031      	4.142492e-03	3.178853e-04	6.319660e-04	3.024196e-04	2.449258e-04
0.029032      	4.100663e-03	3.179059e-04	6.318744e-04	3.027485e-04	2.458485e-04
0.029033      	4.050767e-03	3.179994e-04	6.318470e-04	3.024479e-04	2.467687e-04
0.029034      	3.997193e-03	3.180544e-04	6.318653e-04	3.023916e-04	2.476852e-04
0.029035      	3.945130e-03	3.180919e-04	6.319716e-04	3.016044e-04	2.485978e-04
0.029036      	3.908905e-03	3.180913e-04	6.322166e-04	3.014028e-04	2.495148e-04
0.029037      	3.879444e-03	3.181187e-04	6.324791e-04	3.018021e-04	2.504299e-04
0.029038      	3.839766e-03	3.181442e-04	6.327398e-04	3.013046e-04	2.513644e-04
0.029039      	3.805064e-03	3.182120e-04	6.329285e-04	3.006372e-04	2.523043e-04
0.02904       	3.776590e-03	3.182716e-04	6.330334e-04	3.004186e-04	2.532331e-04
0.029041      	3.746155e-03	3.183706e-04	6.330801e-04	2.999634e-04	2.541608e-04
0.029042      	3.712705e-03	3.184488e-04	6.331288e-04	2.996427e-04	2.551146e-04
0.029043      	3.688630e-03	3.184910e-04	6.331353e-04	2.992847e-04	2.560866e-04
0.029044      	3.673583e-03	3.184834e-04	6.331894e-04	2.996157e-04	2.570338e-04
0.029045      	3.658735e-03	3.184523e-04	6.332213e-04	3.000971e-04	2.579651e-04
0.029046      	3.662277e-03	3.184513e-04	6.333036e-04	3.002683e-04	2.588679e-04
0.029047      	3.633237e-03	3.185406e-04	6.334183e-04	3.005445e-04	2.597751e-04
0.029048      	3.609272e-03	3.186378e-04	6.335133e-04	3.005199e-04	2.607055e-04
0.029049      	3.589498e-03	3.187119e-04	6.335269e-04	3.004723e-04	2.616316e-04
0.02905       	3.574370e-03	3.187199e-04	6.334863e-04	3.003560e-04	2.625580e-04
0.029051      	3.558812e-03	3.186761e-04	6.334194e-04	3.003391e-04	2.634749e-04
0.029052      	3.568494e-03	3.185965e-04	6.333715e-04	3.004577e-04	2.643829e-04
0.029053      	3.578125e-03	3.184760e-04	6.332885e-04	3.009460e-04	2.652711e-04
0.029054      	3.603464e-03	3.182950e-04	6.331736e-04	3.012640e-04	2.661441e-04
0.029055      	3.625326e-03	3.181025e-04	6.330496e-04	3.016143e-04	2.669961e-04
0.029056      	3.645920e-03	3.179201e-04	6.328828e-04	3.019085e-04	2.678286e-04
0.029057      	3.663616e-03	3.177331e-04	6.326926e-04	3.021817e-04	2.686413e-04
0.029058      	3.679642e-03	3.175135e-04	6.325372e-04	3.030109e-04	2.694396e-04
0.029059      	3.695571e-03	3.172925e-04	6.324423e-04	3.034631e-04	2.702253e-04
0.02906       	3.705508e-03	3.170576e-04	6.324128e-04	3.040960e-04	2.709746e-04
0.029061      	3.718761e-03	3.168226e-04	6.324386e-04	3.041424e-04	2.717212e-04
0.029062      	3.733793e-03	3.165358e-04	6.324564e-04	3.043326e-04	2.724679e-04
0.029063      	3.752028e-03	3.162607e-04	6.324828e-04	3.045597e-04	2.732018e-04
0.029064      	3.781485e-03	3.159640e-04	6.324773e-04	3.047034e-04	2.739375e-04
0.029065      	3.807997e-03	3.156682e-04	6.325524e-04	3.051636e-04	2.746827e-04
0.029066      	3.842580e-03	3.154028e-04	6.326540e-04	3.059027e-04	2.754321e-04
0.029067      	3.881372e-03	3.151711e-04	6.328315e-04	3.066222e-04	2.761744e-04
0.029068      	3.918319e-03	3.150027e-04	6.329978e-04	3.070320e-04	2.768856e-04
0.029069      	3.950681e-03	3.147902e-04	6.331991e-04	3.081992e-04	2.775738e-04
0.02907       	3.972820e-03	3.145953e-04	6.333843e-04	3.087232e-04	2.782542e-04
0.029071      	4.026331e-03	3.143500e-04	6.336124e-04	3.103349e-04	2.789550e-04
0.029072      	4.049993e-03	3.140737e-04	6.337621e-04	3.111805e-04	2.796475e-04
0.029073      	4.076396e-03	3.138140e-04	6.338687e-04	3.118382e-04	2.803340e-04
0.029074      	4.113991e-03	3.136157e-04	6.338953e-04	3.123864e-04	2.810095e-04
0.029075      	4.132866e-03	3.134307e-04	6.338597e-04	3.130818e-04	2.816677e-04
0.029076      	4.162218e-03	3.132192e-04	6.337882e-04	3.139789e-04	2.823097e-04
0.029077      	4.183151e-03	3.129757e-04	6.336974e-04	3.151912e-04	2.829382e-04
0.029078      	4.202719e-03	3.127460e-04	6.335882e-04	3.162982e-04	2.835783e-04
0.029079      	4.242161e-03	3.125045e-04	6.335015e-04	3.176521e-04	2.841915e-04
0.02908       	4.268243e-03	3.122166e-04	6.335180e-04	3.191939e-04	2.847925e-04
0.029081      	4.287714e-03	3.118674e-04	6.334937e-04	3.204923e-04	2.853900e-04
0.029082      	4.310238e-03	3.114423e-04	6.334641e-04	3.217811e-04	2.859727e-04
0.029083      	4.340619e-03	3.109712e-04	6.334559e-04	3.234052e-04	2.865375e-04
0.029084      	4.374543e-03	3.104943e-04	6.334782e-04	3.249232e-04	2.870908e-04
0.029085      	4.400215e-03	3.100072e-04	6.335929e-04	3.263881e-04	2.876128e-04
0.029086      	4.427763e-03	3.095063e-04	6.336892e-04	3.276193e-04	2.881188e-04
0.029087      	4.451560e-03	3.089930e-04	6.336796e-04	3.285801e-04	2.886240e-04
